country,geo,year,construction_index_annual_avg_I21_NSA,months_available,yoy_pct
Austria,AT,2020,92.86,12,
Austria,AT,2021,100.01,12,7.70
Austria,AT,2022,101.29,12,1.28
Austria,AT,2023,100.61,12,-0.67
Austria,AT,2024,99.25,12,-1.35
Austria,AT,2025,96.47,12,-2.80
Belgium,BE,2020,95.53,12,
Belgium,BE,2021,99.99,12,4.68
Belgium,BE,2022,101.04,12,1.05
Belgium,BE,2023,101.00,12,-0.04
Belgium,BE,2024,99.86,12,-1.13
Belgium,BE,2025,99.97,12,0.12
Bulgaria,BG,2020,97.48,12,
Bulgaria,BG,2021,99.99,12,2.58
Bulgaria,BG,2022,100.48,12,0.49
Bulgaria,BG,2023,99.07,12,-1.40
Bulgaria,BG,2024,104.48,12,5.45
Bulgaria,BG,2025,109.12,12,4.45
Croatia,HR,2020,91.52,12,
Croatia,HR,2021,100.01,12,9.28
Croatia,HR,2022,103.99,12,3.98
Croatia,HR,2023,109.35,12,5.15
Croatia,HR,2024,124.89,12,14.21
Croatia,HR,2025,134.23,12,7.48
Cyprus,CY,2020,,0,
Cyprus,CY,2021,,0,
Cyprus,CY,2022,,0,
Cyprus,CY,2023,,0,
Cyprus,CY,2024,,0,
Cyprus,CY,2025,,0,
Czechia,CZ,2020,97.42,12,
Czechia,CZ,2021,100.01,12,2.66
Czechia,CZ,2022,103.19,12,3.18
Czechia,CZ,2023,100.40,12,-2.71
Czechia,CZ,2024,99.25,12,-1.15
Czechia,CZ,2025,108.27,12,9.08
Denmark,DK,2020,93.52,12,
Denmark,DK,2021,100.01,12,6.94
Denmark,DK,2022,104.98,12,4.97
Denmark,DK,2023,104.38,12,-0.57
Denmark,DK,2024,105.03,12,0.63
Denmark,DK,2025,107.32,12,2.17
Estonia,EE,2020,,0,
Estonia,EE,2021,,0,
Estonia,EE,2022,,0,
Estonia,EE,2023,,0,
Estonia,EE,2024,,0,
Estonia,EE,2025,,0,
Finland,FI,2020,96.45,12,
Finland,FI,2021,100.00,12,3.68
Finland,FI,2022,101.58,12,1.58
Finland,FI,2023,93.30,12,-8.15
Finland,FI,2024,91.82,12,-1.58
Finland,FI,2025,97.59,12,6.28
France,FR,2020,94.26,12,
France,FR,2021,100.02,12,6.11
France,FR,2022,96.03,12,-3.98
France,FR,2023,98.81,12,2.89
France,FR,2024,95.14,12,-3.71
France,FR,2025,91.61,12,-3.71
Germany,DE,2020,101.28,12,
Germany,DE,2021,99.97,12,-1.28
Germany,DE,2022,97.21,12,-2.77
Germany,DE,2023,95.56,12,-1.70
Germany,DE,2024,92.29,12,-3.42
Germany,DE,2025,90.45,12,-2.00
Greece,EL,2020,,0,
Greece,EL,2021,,0,
Greece,EL,2022,,0,
Greece,EL,2023,,0,
Greece,EL,2024,,0,
Greece,EL,2025,,0,
Hungary,HU,2020,89.42,12,
Hungary,HU,2021,99.99,12,11.83
Hungary,HU,2022,101.85,12,1.86
Hungary,HU,2023,96.48,12,-5.27
Hungary,HU,2024,95.33,12,-1.19
Hungary,HU,2025,97.96,12,2.75
Ireland,IE,2020,,0,
Ireland,IE,2021,,0,
Ireland,IE,2022,,0,
Ireland,IE,2023,,0,
Ireland,IE,2024,,0,
Ireland,IE,2025,,0,
Italy,IT,2020,79.95,12,
Italy,IT,2021,100.01,12,25.09
Italy,IT,2022,121.31,12,21.30
Italy,IT,2023,129.19,12,6.50
Italy,IT,2024,135.96,12,5.24
Italy,IT,2025,141.27,12,3.90
Latvia,LV,2020,,0,
Latvia,LV,2021,,0,
Latvia,LV,2022,,0,
Latvia,LV,2023,,0,
Latvia,LV,2024,,0,
Latvia,LV,2025,,0,
Lithuania,LT,2020,,0,
Lithuania,LT,2021,,0,
Lithuania,LT,2022,,0,
Lithuania,LT,2023,,0,
Lithuania,LT,2024,,0,
Lithuania,LT,2025,,0,
Luxembourg,LU,2020,94.48,12,
Luxembourg,LU,2021,100.02,12,5.87
Luxembourg,LU,2022,100.28,12,0.26
Luxembourg,LU,2023,98.51,12,-1.77
Luxembourg,LU,2024,94.99,12,-3.57
Luxembourg,LU,2025,95.21,12,0.23
Malta,MT,2020,,0,
Malta,MT,2021,,0,
Malta,MT,2022,,0,
Malta,MT,2023,,0,
Malta,MT,2024,,0,
Malta,MT,2025,,0,
Netherlands,NL,2020,96.66,12,
Netherlands,NL,2021,99.99,12,3.45
Netherlands,NL,2022,106.33,12,6.33
Netherlands,NL,2023,109.43,12,2.92
Netherlands,NL,2024,106.53,12,-2.64
Netherlands,NL,2025,107.70,12,1.10
Poland,PL,2020,98.57,12,
Poland,PL,2021,100.00,12,1.45
Poland,PL,2022,107.68,12,7.68
Poland,PL,2023,112.80,12,4.75
Poland,PL,2024,104.14,12,-7.68
Poland,PL,2025,104.40,12,0.25
Portugal,PT,2020,97.42,12,
Portugal,PT,2021,100.00,12,2.64
Portugal,PT,2022,101.81,12,1.81
Portugal,PT,2023,107.55,12,5.64
Portugal,PT,2024,110.35,12,2.60
Portugal,PT,2025,112.15,12,1.63
Romania,RO,2020,100.59,12,
Romania,RO,2021,99.99,12,-0.60
Romania,RO,2022,112.32,12,12.33
Romania,RO,2023,130.43,12,16.12
Romania,RO,2024,122.76,12,-5.88
Romania,RO,2025,132.57,12,7.99
Slovakia,SK,2020,102.69,12,
Slovakia,SK,2021,100.02,12,-2.60
Slovakia,SK,2022,82.73,12,-17.29
Slovakia,SK,2023,82.63,12,-0.12
Slovakia,SK,2024,78.49,12,-5.01
Slovakia,SK,2025,83.95,12,6.95
Slovenia,SI,2020,100.48,12,
Slovenia,SI,2021,100.00,12,-0.48
Slovenia,SI,2022,122.17,12,22.17
Slovenia,SI,2023,145.92,12,19.44
Slovenia,SI,2024,132.26,12,-9.36
Slovenia,SI,2025,145.78,12,10.23
Spain,ES,2020,105.25,12,
Spain,ES,2021,99.99,12,-5.00
Spain,ES,2022,93.23,12,-6.76
Spain,ES,2023,97.15,12,4.20
Spain,ES,2024,100.31,12,3.25
Spain,ES,2025,101.23,12,0.92
Sweden,SE,2020,98.32,12,
Sweden,SE,2021,99.98,12,1.70
Sweden,SE,2022,101.11,12,1.13
Sweden,SE,2023,93.43,12,-7.59
Sweden,SE,2024,89.22,12,-4.51
Sweden,SE,2025,89.43,12,0.24
